,accession,gene_symbol,pred_prob,raw_prob,soft_label,hard_label,mRNA
9263,Q9NS64,RPRM,0.35281911,0.518837296,0.213901475,0.0,0.779779731
9264,Q9NS75,CYSLTR2,0.24501097,0.310547188,0.026521076,0.0,0.089445426
9265,Q9NS85,CA10,0.44192985,0.510099613,0.225571133,0.0,0.000634769
9266,Q9NS87,KIF15,0.6875598,0.540253075,0.441668449,,1.241588898
9267,Q9NS91,RAD18,0.45307562,0.13017998,0.549195182,,0.802112004
9268,Q9NS98,SEMA3G,0.3694603,0.487943411,0.538214214,,0.748977967
9269,Q9NSA2,KCND1,0.35503393,0.196851484,0.414710358,,2.063989113
9270,Q9NSB2,KRT84,0.9571416,0.999986989,0.991486795,1.0,0.0
9271,Q9NSB8,HOMER2,0.60588163,0.465392065,0.300400125,,0.203285856
9272,Q9NSC5,HOMER3,0.32646886,0.132878642,0.59699696,,2.137045835
9273,Q9NSD7,RXFP3,0.14518595,0.210874731,0.221856825,0.0,0.0
9274,Q9NSD9,FARSB,0.9641792,0.871061827,0.937008964,1.0,2.248490884
9275,Q9NSE4,IARS2,0.97559017,0.973975621,0.999978613,1.0,3.097870302
9276,Q9NSG2,FIRRM,0.28708863,0.169241029,0.361045153,,0.0
9277,Q9NSI6,BRWD1,0.5529302,0.355077478,0.637276665,,1.553643669
9278,Q9NSI8,SAMSN1,0.9482712,0.955738421,0.670811901,,0.519995653
9279,Q9NSK0,KLC4,0.9725418,0.993245943,0.978530926,1.0,2.216365842
9280,Q9NSK7,C19orf12,0.6556824,0.427336262,0.194694636,0.0,2.379526988
9281,Q9NSN8,SNTG1,0.16337886,0.159323991,0.489735481,,0.000758187
9282,Q9NST1,PNPLA3,0.24320902,0.136124282,0.34301518,,0.016394578
9283,Q9NSV4,DIAPH3,0.5078346,0.189087183,0.492629085,,0.294803818
9284,Q9NSY1,BMP2K,0.6017697,0.389568698,0.710025761,1.0,1.193555944
9285,Q9NT22,EMILIN3,0.37086818,0.516855731,0.601868211,,0.295211843
9286,Q9NT62,ATG3,0.9773401,0.999999938,0.999593752,1.0,3.249141188
9287,Q9NT68,TENM2,0.17041276,0.174709886,0.288854136,0.0,0.004178811
9288,Q9NTG1,PKDREJ,0.19233087,0.18520555,0.33376685,,0.083964447
9289,Q9NTG7,SIRT3,0.7628813,0.540597386,0.556029903,,2.287062124
9290,Q9NTI2,ATP8A2,0.48934788,0.328025032,0.374074893,,0.0
9291,Q9NTI5,PDS5B,0.80745405,0.588971972,0.959800042,1.0,1.281988346
9292,Q9NTI7,INKA2,0.24415642,0.335198161,0.160652967,0.0,0.735704137
9293,Q9NTJ3,SMC4,0.97360194,0.987871895,0.825763607,1.0,3.586959494
9294,Q9NTJ4,MAN2C1,0.41359186,0.172959862,0.738912614,1.0,5.046555872
9295,Q9NTJ5,SACM1L,0.9739745,0.999961166,0.999999975,1.0,2.06530743
9296,Q9NTK1,DEPP1,0.27386612,0.262515932,0.05861013,0.0,4.970669972
9297,Q9NTK5,OLA1,0.9766053,0.987866898,0.985723617,1.0,1.726808893
9298,Q9NTM9,CUTC,0.6125509,0.388384146,0.431275167,,1.408237437
9299,Q9NTN9,SEMA4G,0.30651003,0.278506436,0.458455598,,3.663496813
9300,Q9NTQ9,GJB4,0.16345675,0.140574364,0.129102837,0.0,1.961595422
9301,Q9NTU7,CBLN4,0.1888664,0.2376051,0.241967929,0.0,0.040382374
9302,Q9NTX5,ECHDC1,0.97024685,0.999938256,0.995176743,1.0,2.217625136
9303,Q9NTX7,RNF146,0.5269891,0.221970591,0.297785096,0.0,1.948950051
9304,Q9NTX9,FAM217B,0.46257728,0.615918728,0.079301811,0.0,2.151662098
9305,Q9NTZ6,RBM12,0.9773607,0.999603874,0.797368867,1.0,4.181342148
9306,Q9NU02,ANKEF1,0.38527837,0.481120688,0.258214165,0.0,1.727647997
9307,Q9NU22,MDN1,0.5255761,0.208391818,0.287023325,0.0,2.683244308
9308,Q9NU63,ZFP57,0.15133604,0.131004685,0.239518167,0.0,0.038052088
9309,Q9NUA8,ZBTB40,0.29950628,0.207633038,0.547469943,,1.948610064
9310,Q9NUB1,ACSS1,0.54996556,0.295760356,0.82609404,1.0,2.871003698
9311,Q9NUD9,PIGV,0.24056366,0.152097446,0.161470765,0.0,2.053947298
9312,Q9NUE0,ZDHHC18,0.6324568,0.528528101,0.529620237,,2.670479574
9313,Q9NUG6,PDRG1,0.9714878,0.992663472,0.849888479,1.0,3.395838711
9314,Q9NUJ1,ABHD10,0.9711613,0.997338308,0.999829818,1.0,2.898539753
9315,Q9NUJ3,TCP11L1,0.25252178,0.132003199,0.608252238,,0.850067248
9316,Q9NUJ7,PLCXD1,0.71614015,0.869645574,0.495504219,,2.433717334
9317,Q9NUK0,MBNL3,0.57557064,0.260002339,0.434448233,,1.281998821
9318,Q9NUL3,STAU2,0.9605183,0.84974091,0.768465972,1.0,0.541297341
9319,Q9NUL7,DDX28,0.4480722,0.135619665,0.2563856,0.0,4.944625289
9320,Q9NUP1,BLOC1S4,0.92082167,0.921772719,0.752528343,1.0,4.737019847
9321,Q9NUP7,TRMT13,0.37209404,0.353355634,0.300684272,,2.591644198
9322,Q9NUP9,LIN7C,0.95893085,0.944531813,0.670418073,,3.297099192
9323,Q9NUQ2,AGPAT5,0.9108858,0.860144258,0.88170296,1.0,2.436684901
9324,Q9NUQ3,TXLNG,0.6517379,0.594970231,0.478700704,,2.718877866
9325,Q9NUQ6,SPATS2L,0.9630348,0.971297273,0.424571629,,2.222276549
9326,Q9NUQ7,UFSP2,0.7136354,0.771619068,0.975904046,1.0,1.65065143
9327,Q9NUQ8,ABCF3,0.46560046,0.13017125,0.877022567,1.0,5.017917099
9328,Q9NUQ9,CYRIB,0.97145766,0.999999999,0.999999829,1.0,2.005739888
9329,Q9NUU7,DDX19A,0.97710574,0.998991618,0.897505359,1.0,2.998131914
9330,Q9NUV9,GIMAP4,0.9739758,0.999999944,0.983877862,1.0,1.439451654
9331,Q9NUW8,TDP1,0.9645966,0.972019532,0.619140763,,1.323334702
9332,Q9NUZ1,ACOXL,0.94141805,0.905965132,0.559909899,,0.004324206
